,Average Eff PSF,Average Eff. Rental,Average Face PSF,Average Face Rental,Average Govt Rates PSF/ Mth,Average Govt Rent PSF/ Mth,Average Govt. Rates/ Mth,Average Govt. Rent/ Mth,Average MFA,Average Net PSF,Average Net Rental,Count,Label,Trade Name,Unit
62,68.18375,58160.73875,67.4725,57554.0425,2.89125,1.1125,2464.5075,949.6925,853,68.35125,58303.61625,1,0,KettlerXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 11
63,47.294,68481.712,48.81,70676.88,2.962,1.098,4286.42,1590.124,1448,48.978,70920.144,1,0,KettlerXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,UG 47
64,53.85,32579.25,53.25,32216.25,2.401666667,1.441666667,1452.715,871.6266667,605,54.40666667,32916.03333,1,0,Pro-winsXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 12
65,53.85,32579.25,53.25,32216.25,2.401666667,1.441666667,1452.715,871.6266667,605,54.40666667,32916.03333,1,0,CheersXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 12
66,53.85,32579.25,53.25,32216.25,2.401666667,1.441666667,1452.715,871.6266667,605,54.40666667,32916.03333,4,1,CasablancaXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 12
67,23.28,28145.52,24.6,29741.4,1.1,0.22,1333.33,266.67,1209,23.94,28943.46,1,0,Universal XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 12 & 15
68,50.53375,30522.385,50.31625,30391.015,2.38,1.42375,1436.345,861.8075,604,50.995,30800.98,4,1,kids moreXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 15
69,50.53375,30522.385,50.31625,30391.015,2.38,1.42375,1436.345,861.8075,604,50.995,30800.98,4,1,SINOMAXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 15
70,59.69333333,72169.24,59.805,72304.245,2.538333333,0.835,3069.956667,1009.053333,1209,60.385,73005.465,1,0,Pet LineXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 16-17
71,59.69333333,72169.24,59.805,72304.245,2.538333333,0.835,3069.956667,1009.053333,1209,60.385,73005.465,2,1,PetlineXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 16-17
72,59.69333333,72169.24,59.805,72304.245,2.538333333,0.835,3069.956667,1009.053333,1209,60.385,73005.465,2,1,Ingrid MilXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 16-17
73,41.87142857,92284.62857,41.51285714,91494.33714,1.941428571,0.4757142857,4281.551429,1052.431429,2204,42.04571429,92668.75429,2,1,Ingrid MilXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,UG 48
74,59.69333333,72169.24,59.805,72304.245,2.538333333,0.835,3069.956667,1009.053333,1209,60.385,73005.465,1,0,Bioscreen XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 16-17
